"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"GDP",28893,2024-02-25 19:37:56
"2","million 1990$","Reference","Africa_Eastern",1990,"GDP",46850,2024-02-25 19:37:56
"3","million 1990$","Reference","Africa_Eastern",2005,"GDP",85953,2024-02-25 19:37:56
"4","million 1990$","Reference","Africa_Eastern",2010,"GDP",119402,2024-02-25 19:37:56
"5","million 1990$","Reference","Africa_Eastern",2015,"GDP",151679,2024-02-25 19:37:56
"6","million 1990$","Reference","Africa_Eastern",2020,"GDP",187112,2024-02-25 19:37:56
"7","million 1990$","Reference","Africa_Eastern",2025,"GDP",241305,2024-02-25 19:37:56
"8","million 1990$","Reference","Africa_Eastern",2030,"GDP",367627,2024-02-25 19:37:56
"9","million 1990$","Reference","Africa_Eastern",2035,"GDP",573177,2024-02-25 19:37:56
"10","million 1990$","Reference","Africa_Eastern",2040,"GDP",876494,2024-02-25 19:37:56
"11","million 1990$","Reference","Africa_Eastern",2045,"GDP",1302290,2024-02-25 19:37:56
"12","million 1990$","Reference","Africa_Eastern",2050,"GDP",1873670,2024-02-25 19:37:56
"13","million 1990$","Reference","Africa_Eastern",2055,"GDP",2611600,2024-02-25 19:37:56
"14","million 1990$","Reference","Africa_Eastern",2060,"GDP",3530180,2024-02-25 19:37:56
"15","million 1990$","Reference","Africa_Eastern",2065,"GDP",4633260,2024-02-25 19:37:56
"16","million 1990$","Reference","Africa_Eastern",2070,"GDP",5912980,2024-02-25 19:37:56
"17","million 1990$","Reference","Africa_Eastern",2075,"GDP",7357240,2024-02-25 19:37:56
"18","million 1990$","Reference","Africa_Eastern",2080,"GDP",8952420,2024-02-25 19:37:56
"19","million 1990$","Reference","Africa_Eastern",2085,"GDP",10681900,2024-02-25 19:37:56
"20","million 1990$","Reference","Africa_Eastern",2090,"GDP",12523200,2024-02-25 19:37:56
"21","million 1990$","Reference","Africa_Eastern",2095,"GDP",14453500,2024-02-25 19:37:56
"22","million 1990$","Reference","Africa_Eastern",2100,"GDP",16434300,2024-02-25 19:37:56
"23","million 1990$","Reference","Africa_Northern",1975,"GDP",84938,2024-02-25 19:37:56
"24","million 1990$","Reference","Africa_Northern",1990,"GDP",190375,2024-02-25 19:37:56
"25","million 1990$","Reference","Africa_Northern",2005,"GDP",310900,2024-02-25 19:37:56
"26","million 1990$","Reference","Africa_Northern",2010,"GDP",387805,2024-02-25 19:37:56
"27","million 1990$","Reference","Africa_Northern",2015,"GDP",418411,2024-02-25 19:37:56
"28","million 1990$","Reference","Africa_Northern",2020,"GDP",515797,2024-02-25 19:37:56
"29","million 1990$","Reference","Africa_Northern",2025,"GDP",630777,2024-02-25 19:37:56
"30","million 1990$","Reference","Africa_Northern",2030,"GDP",848784,2024-02-25 19:37:56
"31","million 1990$","Reference","Africa_Northern",2035,"GDP",1131780,2024-02-25 19:37:56
"32","million 1990$","Reference","Africa_Northern",2040,"GDP",1459650,2024-02-25 19:37:56
"33","million 1990$","Reference","Africa_Northern",2045,"GDP",1819930,2024-02-25 19:37:56
"34","million 1990$","Reference","Africa_Northern",2050,"GDP",2198330,2024-02-25 19:37:56
"35","million 1990$","Reference","Africa_Northern",2055,"GDP",2598220,2024-02-25 19:37:56
"36","million 1990$","Reference","Africa_Northern",2060,"GDP",3021990,2024-02-25 19:37:56
"37","million 1990$","Reference","Africa_Northern",2065,"GDP",3464200,2024-02-25 19:37:56
"38","million 1990$","Reference","Africa_Northern",2070,"GDP",3900660,2024-02-25 19:37:56
"39","million 1990$","Reference","Africa_Northern",2075,"GDP",4321660,2024-02-25 19:37:56
"40","million 1990$","Reference","Africa_Northern",2080,"GDP",4732750,2024-02-25 19:37:56
"41","million 1990$","Reference","Africa_Northern",2085,"GDP",5135970,2024-02-25 19:37:56
"42","million 1990$","Reference","Africa_Northern",2090,"GDP",5538130,2024-02-25 19:37:56
"43","million 1990$","Reference","Africa_Northern",2095,"GDP",5938530,2024-02-25 19:37:56
"44","million 1990$","Reference","Africa_Northern",2100,"GDP",6318020,2024-02-25 19:37:56
"45","million 1990$","Reference","Africa_Southern",1975,"GDP",28497,2024-02-25 19:37:56
"46","million 1990$","Reference","Africa_Southern",1990,"GDP",42717,2024-02-25 19:37:56
"47","million 1990$","Reference","Africa_Southern",2005,"GDP",79377,2024-02-25 19:37:56
"48","million 1990$","Reference","Africa_Southern",2010,"GDP",120196,2024-02-25 19:37:56
"49","million 1990$","Reference","Africa_Southern",2015,"GDP",155391,2024-02-25 19:37:56
"50","million 1990$","Reference","Africa_Southern",2020,"GDP",172716,2024-02-25 19:37:56
