"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"GDP",28893,2024-02-05 11:54:21
"2","million 1990$","Reference","Africa_Eastern",1990,"GDP",46850,2024-02-05 11:54:21
"3","million 1990$","Reference","Africa_Eastern",2005,"GDP",85953,2024-02-05 11:54:21
"4","million 1990$","Reference","Africa_Eastern",2010,"GDP",119402,2024-02-05 11:54:21
"5","million 1990$","Reference","Africa_Eastern",2015,"GDP",151679,2024-02-05 11:54:21
"6","million 1990$","Reference","Africa_Eastern",2020,"GDP",187112,2024-02-05 11:54:21
"7","million 1990$","Reference","Africa_Eastern",2025,"GDP",240298,2024-02-05 11:54:21
"8","million 1990$","Reference","Africa_Eastern",2030,"GDP",346725,2024-02-05 11:54:21
"9","million 1990$","Reference","Africa_Eastern",2035,"GDP",507216,2024-02-05 11:54:21
"10","million 1990$","Reference","Africa_Eastern",2040,"GDP",736026,2024-02-05 11:54:21
"11","million 1990$","Reference","Africa_Eastern",2045,"GDP",1048730,2024-02-05 11:54:21
"12","million 1990$","Reference","Africa_Eastern",2050,"GDP",1458960,2024-02-05 11:54:21
"13","million 1990$","Reference","Africa_Eastern",2055,"GDP",1977460,2024-02-05 11:54:21
"14","million 1990$","Reference","Africa_Eastern",2060,"GDP",2608790,2024-02-05 11:54:21
"15","million 1990$","Reference","Africa_Eastern",2065,"GDP",3348060,2024-02-05 11:54:21
"16","million 1990$","Reference","Africa_Eastern",2070,"GDP",4182000,2024-02-05 11:54:21
"17","million 1990$","Reference","Africa_Eastern",2075,"GDP",5093820,2024-02-05 11:54:21
"18","million 1990$","Reference","Africa_Eastern",2080,"GDP",6065020,2024-02-05 11:54:21
"19","million 1990$","Reference","Africa_Eastern",2085,"GDP",7076370,2024-02-05 11:54:21
"20","million 1990$","Reference","Africa_Eastern",2090,"GDP",8105440,2024-02-05 11:54:21
"21","million 1990$","Reference","Africa_Eastern",2095,"GDP",9131420,2024-02-05 11:54:21
"22","million 1990$","Reference","Africa_Eastern",2100,"GDP",10125800,2024-02-05 11:54:21
"23","million 1990$","Reference","Africa_Northern",1975,"GDP",84938,2024-02-05 11:54:21
"24","million 1990$","Reference","Africa_Northern",1990,"GDP",190375,2024-02-05 11:54:21
