"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"GDP",28893,2024-02-05 13:29:59
"2","million 1990$","Reference","Africa_Eastern",1990,"GDP",46850,2024-02-05 13:29:59
"3","million 1990$","Reference","Africa_Eastern",2005,"GDP",85953,2024-02-05 13:29:59
"4","million 1990$","Reference","Africa_Eastern",2010,"GDP",119402,2024-02-05 13:29:59
"5","million 1990$","Reference","Africa_Eastern",2015,"GDP",151679,2024-02-05 13:29:59
"6","million 1990$","Reference","Africa_Eastern",2020,"GDP",187112,2024-02-05 13:29:59
"7","million 1990$","Reference","Africa_Eastern",2025,"GDP",239022,2024-02-05 13:29:59
"8","million 1990$","Reference","Africa_Eastern",2030,"GDP",321356,2024-02-05 13:29:59
"9","million 1990$","Reference","Africa_Eastern",2035,"GDP",427658,2024-02-05 13:29:59
"10","million 1990$","Reference","Africa_Eastern",2040,"GDP",569869,2024-02-05 13:29:59
"11","million 1990$","Reference","Africa_Eastern",2045,"GDP",757672,2024-02-05 13:29:59
"12","million 1990$","Reference","Africa_Eastern",2050,"GDP",1001190,2024-02-05 13:29:59
"13","million 1990$","Reference","Africa_Eastern",2055,"GDP",1312420,2024-02-05 13:29:59
"14","million 1990$","Reference","Africa_Eastern",2060,"GDP",1704500,2024-02-05 13:29:59
"15","million 1990$","Reference","Africa_Eastern",2065,"GDP",2190550,2024-02-05 13:29:59
"16","million 1990$","Reference","Africa_Eastern",2070,"GDP",2782710,2024-02-05 13:29:59
"17","million 1990$","Reference","Africa_Eastern",2075,"GDP",3489840,2024-02-05 13:29:59
"18","million 1990$","Reference","Africa_Eastern",2080,"GDP",4317660,2024-02-05 13:29:59
"19","million 1990$","Reference","Africa_Eastern",2085,"GDP",5271490,2024-02-05 13:29:59
"20","million 1990$","Reference","Africa_Eastern",2090,"GDP",6354510,2024-02-05 13:29:59
"21","million 1990$","Reference","Africa_Eastern",2095,"GDP",7567070,2024-02-05 13:29:59
"22","million 1990$","Reference","Africa_Eastern",2100,"GDP",8902450,2024-02-05 13:29:59
"23","million 1990$","Reference","Africa_Northern",1975,"GDP",84938,2024-02-05 13:29:59
"24","million 1990$","Reference","Africa_Northern",1990,"GDP",190375,2024-02-05 13:29:59
"25","million 1990$","Reference","Africa_Northern",2005,"GDP",310900,2024-02-05 13:29:59
"26","million 1990$","Reference","Africa_Northern",2010,"GDP",387805,2024-02-05 13:29:59
"27","million 1990$","Reference","Africa_Northern",2015,"GDP",418411,2024-02-05 13:29:59
"28","million 1990$","Reference","Africa_Northern",2020,"GDP",515797,2024-02-05 13:29:59
"29","million 1990$","Reference","Africa_Northern",2025,"GDP",627167,2024-02-05 13:29:59
"30","million 1990$","Reference","Africa_Northern",2030,"GDP",785256,2024-02-05 13:29:59
"31","million 1990$","Reference","Africa_Northern",2035,"GDP",960109,2024-02-05 13:29:59
"32","million 1990$","Reference","Africa_Northern",2040,"GDP",1154210,2024-02-05 13:29:59
"33","million 1990$","Reference","Africa_Northern",2045,"GDP",1367090,2024-02-05 13:29:59
"34","million 1990$","Reference","Africa_Northern",2050,"GDP",1596440,2024-02-05 13:29:59
"35","million 1990$","Reference","Africa_Northern",2055,"GDP",1845850,2024-02-05 13:29:59
"36","million 1990$","Reference","Africa_Northern",2060,"GDP",2116550,2024-02-05 13:29:59
"37","million 1990$","Reference","Africa_Northern",2065,"GDP",2406360,2024-02-05 13:29:59
"38","million 1990$","Reference","Africa_Northern",2070,"GDP",2705240,2024-02-05 13:29:59
"39","million 1990$","Reference","Africa_Northern",2075,"GDP",3008440,2024-02-05 13:29:59
"40","million 1990$","Reference","Africa_Northern",2080,"GDP",3315290,2024-02-05 13:29:59
"41","million 1990$","Reference","Africa_Northern",2085,"GDP",3626790,2024-02-05 13:29:59
"42","million 1990$","Reference","Africa_Northern",2090,"GDP",3943800,2024-02-05 13:29:59
"43","million 1990$","Reference","Africa_Northern",2095,"GDP",4264810,2024-02-05 13:29:59
"44","million 1990$","Reference","Africa_Northern",2100,"GDP",4585280,2024-02-05 13:29:59
"45","million 1990$","Reference","Africa_Southern",1975,"GDP",28497,2024-02-05 13:29:59
"46","million 1990$","Reference","Africa_Southern",1990,"GDP",42717,2024-02-05 13:29:59
"47","million 1990$","Reference","Africa_Southern",2005,"GDP",79377,2024-02-05 13:29:59
"48","million 1990$","Reference","Africa_Southern",2010,"GDP",120196,2024-02-05 13:29:59
"49","million 1990$","Reference","Africa_Southern",2015,"GDP",155391,2024-02-05 13:29:59
"50","million 1990$","Reference","Africa_Southern",2020,"GDP",172716,2024-02-05 13:29:59
"51","million 1990$","Reference","Africa_Southern",2025,"GDP",210838,2024-02-05 13:29:59
"52","million 1990$","Reference","Africa_Southern",2030,"GDP",265758,2024-02-05 13:29:59
"53","million 1990$","Reference","Africa_Southern",2035,"GDP",330674,2024-02-05 13:29:59
"54","million 1990$","Reference","Africa_Southern",2040,"GDP",416796,2024-02-05 13:29:59
"55","million 1990$","Reference","Africa_Southern",2045,"GDP",532045,2024-02-05 13:29:59
"56","million 1990$","Reference","Africa_Southern",2050,"GDP",683695,2024-02-05 13:29:59
"57","million 1990$","Reference","Africa_Southern",2055,"GDP",878830,2024-02-05 13:29:59
"58","million 1990$","Reference","Africa_Southern",2060,"GDP",1124650,2024-02-05 13:29:59
"59","million 1990$","Reference","Africa_Southern",2065,"GDP",1429040,2024-02-05 13:29:59
"60","million 1990$","Reference","Africa_Southern",2070,"GDP",1799010,2024-02-05 13:29:59
"61","million 1990$","Reference","Africa_Southern",2075,"GDP",2239500,2024-02-05 13:29:59
"62","million 1990$","Reference","Africa_Southern",2080,"GDP",2756650,2024-02-05 13:29:59
"63","million 1990$","Reference","Africa_Southern",2085,"GDP",3354570,2024-02-05 13:29:59
"64","million 1990$","Reference","Africa_Southern",2090,"GDP",4035510,2024-02-05 13:29:59
"65","million 1990$","Reference","Africa_Southern",2095,"GDP",4799690,2024-02-05 13:29:59
"66","million 1990$","Reference","Africa_Southern",2100,"GDP",5645680,2024-02-05 13:29:59
"67","million 1990$","Reference","Africa_Western",1975,"GDP",136747,2024-02-05 13:29:59
"68","million 1990$","Reference","Africa_Western",1990,"GDP",167596,2024-02-05 13:29:59
"69","million 1990$","Reference","Africa_Western",2005,"GDP",292856,2024-02-05 13:29:59
"70","million 1990$","Reference","Africa_Western",2010,"GDP",393371,2024-02-05 13:29:59
"71","million 1990$","Reference","Africa_Western",2015,"GDP",499850,2024-02-05 13:29:59
"72","million 1990$","Reference","Africa_Western",2020,"GDP",565228,2024-02-05 13:29:59
"73","million 1990$","Reference","Africa_Western",2025,"GDP",691037,2024-02-05 13:29:59
"74","million 1990$","Reference","Africa_Western",2030,"GDP",943443,2024-02-05 13:29:59
"75","million 1990$","Reference","Africa_Western",2035,"GDP",1267350,2024-02-05 13:29:59
"76","million 1990$","Reference","Africa_Western",2040,"GDP",1692420,2024-02-05 13:29:59
"77","million 1990$","Reference","Africa_Western",2045,"GDP",2246240,2024-02-05 13:29:59
"78","million 1990$","Reference","Africa_Western",2050,"GDP",2959670,2024-02-05 13:29:59
"79","million 1990$","Reference","Africa_Western",2055,"GDP",3869950,2024-02-05 13:29:59
"80","million 1990$","Reference","Africa_Western",2060,"GDP",5011820,2024-02-05 13:29:59
"81","million 1990$","Reference","Africa_Western",2065,"GDP",6418320,2024-02-05 13:29:59
"82","million 1990$","Reference","Africa_Western",2070,"GDP",8116920,2024-02-05 13:29:59
"83","million 1990$","Reference","Africa_Western",2075,"GDP",10125900,2024-02-05 13:29:59
"84","million 1990$","Reference","Africa_Western",2080,"GDP",12455700,2024-02-05 13:29:59
"85","million 1990$","Reference","Africa_Western",2085,"GDP",15110900,2024-02-05 13:29:59
"86","million 1990$","Reference","Africa_Western",2090,"GDP",18093400,2024-02-05 13:29:59
"87","million 1990$","Reference","Africa_Western",2095,"GDP",21389300,2024-02-05 13:29:59
"88","million 1990$","Reference","Africa_Western",2100,"GDP",24973400,2024-02-05 13:29:59
"89","million 1990$","Reference","Argentina",1975,"GDP",136953,2024-02-05 13:29:59
"90","million 1990$","Reference","Argentina",1990,"GDP",129111,2024-02-05 13:29:59
"91","million 1990$","Reference","Argentina",2005,"GDP",221566,2024-02-05 13:29:59
"92","million 1990$","Reference","Argentina",2010,"GDP",281343,2024-02-05 13:29:59
"93","million 1990$","Reference","Argentina",2015,"GDP",302727,2024-02-05 13:29:59
"94","million 1990$","Reference","Argentina",2020,"GDP",299468,2024-02-05 13:29:59
"95","million 1990$","Reference","Argentina",2025,"GDP",354142,2024-02-05 13:29:59
"96","million 1990$","Reference","Argentina",2030,"GDP",412788,2024-02-05 13:29:59
"97","million 1990$","Reference","Argentina",2035,"GDP",473963,2024-02-05 13:29:59
"98","million 1990$","Reference","Argentina",2040,"GDP",535352,2024-02-05 13:29:59
"99","million 1990$","Reference","Argentina",2045,"GDP",596067,2024-02-05 13:29:59
"100","million 1990$","Reference","Argentina",2050,"GDP",658464,2024-02-05 13:29:59
"101","million 1990$","Reference","Argentina",2055,"GDP",722780,2024-02-05 13:29:59
"102","million 1990$","Reference","Argentina",2060,"GDP",788264,2024-02-05 13:29:59
"103","million 1990$","Reference","Argentina",2065,"GDP",854504,2024-02-05 13:29:59
"104","million 1990$","Reference","Argentina",2070,"GDP",920309,2024-02-05 13:29:59
"105","million 1990$","Reference","Argentina",2075,"GDP",984430,2024-02-05 13:29:59
"106","million 1990$","Reference","Argentina",2080,"GDP",1047910,2024-02-05 13:29:59
"107","million 1990$","Reference","Argentina",2085,"GDP",1111350,2024-02-05 13:29:59
"108","million 1990$","Reference","Argentina",2090,"GDP",1175140,2024-02-05 13:29:59
"109","million 1990$","Reference","Argentina",2095,"GDP",1238640,2024-02-05 13:29:59
"110","million 1990$","Reference","Argentina",2100,"GDP",1301070,2024-02-05 13:29:59
"111","million 1990$","Reference","Australia_NZ",1975,"GDP",295338,2024-02-05 13:29:59
"112","million 1990$","Reference","Australia_NZ",1990,"GDP",475381,2024-02-05 13:29:59
"113","million 1990$","Reference","Australia_NZ",2005,"GDP",772867,2024-02-05 13:29:59
"114","million 1990$","Reference","Australia_NZ",2010,"GDP",882794,2024-02-05 13:29:59
"115","million 1990$","Reference","Australia_NZ",2015,"GDP",1013760,2024-02-05 13:29:59
"116","million 1990$","Reference","Australia_NZ",2020,"GDP",1153320,2024-02-05 13:29:59
"117","million 1990$","Reference","Australia_NZ",2025,"GDP",1314240,2024-02-05 13:29:59
"118","million 1990$","Reference","Australia_NZ",2030,"GDP",1475870,2024-02-05 13:29:59
"119","million 1990$","Reference","Australia_NZ",2035,"GDP",1640170,2024-02-05 13:29:59
"120","million 1990$","Reference","Australia_NZ",2040,"GDP",1815630,2024-02-05 13:29:59
"121","million 1990$","Reference","Australia_NZ",2045,"GDP",2005560,2024-02-05 13:29:59
"122","million 1990$","Reference","Australia_NZ",2050,"GDP",2197820,2024-02-05 13:29:59
"123","million 1990$","Reference","Australia_NZ",2055,"GDP",2396400,2024-02-05 13:29:59
"124","million 1990$","Reference","Australia_NZ",2060,"GDP",2614960,2024-02-05 13:29:59
"125","million 1990$","Reference","Australia_NZ",2065,"GDP",2849260,2024-02-05 13:29:59
"126","million 1990$","Reference","Australia_NZ",2070,"GDP",3093460,2024-02-05 13:29:59
"127","million 1990$","Reference","Australia_NZ",2075,"GDP",3336930,2024-02-05 13:29:59
"128","million 1990$","Reference","Australia_NZ",2080,"GDP",3579390,2024-02-05 13:29:59
"129","million 1990$","Reference","Australia_NZ",2085,"GDP",3816400,2024-02-05 13:29:59
"130","million 1990$","Reference","Australia_NZ",2090,"GDP",4050340,2024-02-05 13:29:59
"131","million 1990$","Reference","Australia_NZ",2095,"GDP",4283890,2024-02-05 13:29:59
"132","million 1990$","Reference","Australia_NZ",2100,"GDP",4516130,2024-02-05 13:29:59
"133","million 1990$","Reference","Brazil",1975,"GDP",479174,2024-02-05 13:29:59
"134","million 1990$","Reference","Brazil",1990,"GDP",786901,2024-02-05 13:29:59
"135","million 1990$","Reference","Brazil",2005,"GDP",1170820,2024-02-05 13:29:59
"136","million 1990$","Reference","Brazil",2010,"GDP",1457110,2024-02-05 13:29:59
"137","million 1990$","Reference","Brazil",2015,"GDP",1542290,2024-02-05 13:29:59
"138","million 1990$","Reference","Brazil",2020,"GDP",1594440,2024-02-05 13:29:59
"139","million 1990$","Reference","Brazil",2025,"GDP",1794200,2024-02-05 13:29:59
"140","million 1990$","Reference","Brazil",2030,"GDP",2048030,2024-02-05 13:29:59
"141","million 1990$","Reference","Brazil",2035,"GDP",2291720,2024-02-05 13:29:59
"142","million 1990$","Reference","Brazil",2040,"GDP",2542530,2024-02-05 13:29:59
"143","million 1990$","Reference","Brazil",2045,"GDP",2795190,2024-02-05 13:29:59
"144","million 1990$","Reference","Brazil",2050,"GDP",3044300,2024-02-05 13:29:59
