"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"GDP",28893,2024-02-05 15:57:01
"2","million 1990$","Reference","Africa_Eastern",1990,"GDP",46850,2024-02-05 15:57:01
"3","million 1990$","Reference","Africa_Eastern",2005,"GDP",85953,2024-02-05 15:57:01
"4","million 1990$","Reference","Africa_Eastern",2010,"GDP",119402,2024-02-05 15:57:01
"5","million 1990$","Reference","Africa_Eastern",2015,"GDP",151679,2024-02-05 15:57:01
"6","million 1990$","Reference","Africa_Eastern",2020,"GDP",187112,2024-02-05 15:57:01
"7","million 1990$","Reference","Africa_Eastern",2025,"GDP",237429,2024-02-05 15:57:01
"8","million 1990$","Reference","Africa_Eastern",2030,"GDP",296381,2024-02-05 15:57:01
"9","million 1990$","Reference","Africa_Eastern",2035,"GDP",354473,2024-02-05 15:57:01
"10","million 1990$","Reference","Africa_Eastern",2040,"GDP",419980,2024-02-05 15:57:01
"11","million 1990$","Reference","Africa_Eastern",2045,"GDP",494224,2024-02-05 15:57:01
"12","million 1990$","Reference","Africa_Eastern",2050,"GDP",577508,2024-02-05 15:57:01
"13","million 1990$","Reference","Africa_Eastern",2055,"GDP",670520,2024-02-05 15:57:01
"14","million 1990$","Reference","Africa_Eastern",2060,"GDP",774834,2024-02-05 15:57:01
"15","million 1990$","Reference","Africa_Eastern",2065,"GDP",891920,2024-02-05 15:57:01
"16","million 1990$","Reference","Africa_Eastern",2070,"GDP",1022890,2024-02-05 15:57:01
"17","million 1990$","Reference","Africa_Eastern",2075,"GDP",1167610,2024-02-05 15:57:01
"18","million 1990$","Reference","Africa_Eastern",2080,"GDP",1324620,2024-02-05 15:57:01
"19","million 1990$","Reference","Africa_Eastern",2085,"GDP",1493910,2024-02-05 15:57:01
"20","million 1990$","Reference","Africa_Eastern",2090,"GDP",1676410,2024-02-05 15:57:01
"21","million 1990$","Reference","Africa_Eastern",2095,"GDP",1873690,2024-02-05 15:57:01
"22","million 1990$","Reference","Africa_Eastern",2100,"GDP",2087040,2024-02-05 15:57:01
"23","million 1990$","Reference","Africa_Northern",1975,"GDP",84938,2024-02-05 15:57:01
"24","million 1990$","Reference","Africa_Northern",1990,"GDP",190375,2024-02-05 15:57:01
"25","million 1990$","Reference","Africa_Northern",2005,"GDP",310900,2024-02-05 15:57:01
"26","million 1990$","Reference","Africa_Northern",2010,"GDP",387805,2024-02-05 15:57:01
"27","million 1990$","Reference","Africa_Northern",2015,"GDP",418411,2024-02-05 15:57:01
"28","million 1990$","Reference","Africa_Northern",2020,"GDP",515797,2024-02-05 15:57:01
"29","million 1990$","Reference","Africa_Northern",2025,"GDP",625878,2024-02-05 15:57:01
"30","million 1990$","Reference","Africa_Northern",2030,"GDP",776490,2024-02-05 15:57:01
"31","million 1990$","Reference","Africa_Northern",2035,"GDP",937396,2024-02-05 15:57:01
"32","million 1990$","Reference","Africa_Northern",2040,"GDP",1103580,2024-02-05 15:57:01
"33","million 1990$","Reference","Africa_Northern",2045,"GDP",1271990,2024-02-05 15:57:01
"34","million 1990$","Reference","Africa_Northern",2050,"GDP",1441420,2024-02-05 15:57:01
"35","million 1990$","Reference","Africa_Northern",2055,"GDP",1618180,2024-02-05 15:57:01
"36","million 1990$","Reference","Africa_Northern",2060,"GDP",1803790,2024-02-05 15:57:01
"37","million 1990$","Reference","Africa_Northern",2065,"GDP",1992300,2024-02-05 15:57:01
"38","million 1990$","Reference","Africa_Northern",2070,"GDP",2171980,2024-02-05 15:57:01
"39","million 1990$","Reference","Africa_Northern",2075,"GDP",2338880,2024-02-05 15:57:01
"40","million 1990$","Reference","Africa_Northern",2080,"GDP",2495550,2024-02-05 15:57:01
"41","million 1990$","Reference","Africa_Northern",2085,"GDP",2643480,2024-02-05 15:57:01
"42","million 1990$","Reference","Africa_Northern",2090,"GDP",2786280,2024-02-05 15:57:01
"43","million 1990$","Reference","Africa_Northern",2095,"GDP",2923490,2024-02-05 15:57:01
"44","million 1990$","Reference","Africa_Northern",2100,"GDP",3049140,2024-02-05 15:57:01
"45","million 1990$","Reference","Africa_Southern",1975,"GDP",28497,2024-02-05 15:57:01
"46","million 1990$","Reference","Africa_Southern",1990,"GDP",42717,2024-02-05 15:57:01
"47","million 1990$","Reference","Africa_Southern",2005,"GDP",79377,2024-02-05 15:57:01
"48","million 1990$","Reference","Africa_Southern",2010,"GDP",120196,2024-02-05 15:57:01
"49","million 1990$","Reference","Africa_Southern",2015,"GDP",155391,2024-02-05 15:57:01
"50","million 1990$","Reference","Africa_Southern",2020,"GDP",172716,2024-02-05 15:57:01
"51","million 1990$","Reference","Africa_Southern",2025,"GDP",210046,2024-02-05 15:57:01
"52","million 1990$","Reference","Africa_Southern",2030,"GDP",254728,2024-02-05 15:57:01
"53","million 1990$","Reference","Africa_Southern",2035,"GDP",297208,2024-02-05 15:57:01
"54","million 1990$","Reference","Africa_Southern",2040,"GDP",344919,2024-02-05 15:57:01
"55","million 1990$","Reference","Africa_Southern",2045,"GDP",402468,2024-02-05 15:57:01
"56","million 1990$","Reference","Africa_Southern",2050,"GDP",473195,2024-02-05 15:57:01
"57","million 1990$","Reference","Africa_Southern",2055,"GDP",558655,2024-02-05 15:57:01
"58","million 1990$","Reference","Africa_Southern",2060,"GDP",660212,2024-02-05 15:57:01
"59","million 1990$","Reference","Africa_Southern",2065,"GDP",779414,2024-02-05 15:57:01
