"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"gdp-per-capita",0.31443,2024-02-05 13:29:59
"2","million 1990$","Reference","Africa_Eastern",1990,"gdp-per-capita",0.321787,2024-02-05 13:29:59
"3","million 1990$","Reference","Africa_Eastern",2005,"gdp-per-capita",0.385735,2024-02-05 13:29:59
"4","million 1990$","Reference","Africa_Eastern",2010,"gdp-per-capita",0.467632,2024-02-05 13:29:59
"5","million 1990$","Reference","Africa_Eastern",2015,"gdp-per-capita",0.518454,2024-02-05 13:29:59
"6","million 1990$","Reference","Africa_Eastern",2020,"gdp-per-capita",0.571069,2024-02-05 13:29:59
"7","million 1990$","Reference","Africa_Eastern",2025,"gdp-per-capita",0.657897,2024-02-05 13:29:59
"8","million 1990$","Reference","Africa_Eastern",2030,"gdp-per-capita",0.805549,2024-02-05 13:29:59
"9","million 1990$","Reference","Africa_Eastern",2035,"gdp-per-capita",0.985587,2024-02-05 13:29:59
"10","million 1990$","Reference","Africa_Eastern",2040,"gdp-per-capita",1.21854,2024-02-05 13:29:59
"11","million 1990$","Reference","Africa_Eastern",2045,"gdp-per-capita",1.51636,2024-02-05 13:29:59
"12","million 1990$","Reference","Africa_Eastern",2050,"gdp-per-capita",1.89117,2024-02-05 13:29:59
"13","million 1990$","Reference","Africa_Eastern",2055,"gdp-per-capita",2.35779,2024-02-05 13:29:59
"14","million 1990$","Reference","Africa_Eastern",2060,"gdp-per-capita",2.9327,2024-02-05 13:29:59
"15","million 1990$","Reference","Africa_Eastern",2065,"gdp-per-capita",3.63194,2024-02-05 13:29:59
"16","million 1990$","Reference","Africa_Eastern",2070,"gdp-per-capita",4.47042,2024-02-05 13:29:59
"17","million 1990$","Reference","Africa_Eastern",2075,"gdp-per-capita",5.4597,2024-02-05 13:29:59
"18","million 1990$","Reference","Africa_Eastern",2080,"gdp-per-capita",6.61124,2024-02-05 13:29:59
"19","million 1990$","Reference","Africa_Eastern",2085,"gdp-per-capita",7.93756,2024-02-05 13:29:59
"20","million 1990$","Reference","Africa_Eastern",2090,"gdp-per-capita",9.45169,2024-02-05 13:29:59
