"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"gdp-per-capita",0.31443,2024-02-05 14:02:39
"2","million 1990$","Reference","Africa_Eastern",1990,"gdp-per-capita",0.321787,2024-02-05 14:02:39
"3","million 1990$","Reference","Africa_Eastern",2005,"gdp-per-capita",0.385735,2024-02-05 14:02:39
"4","million 1990$","Reference","Africa_Eastern",2010,"gdp-per-capita",0.467632,2024-02-05 14:02:39
"5","million 1990$","Reference","Africa_Eastern",2015,"gdp-per-capita",0.518454,2024-02-05 14:02:39
"6","million 1990$","Reference","Africa_Eastern",2020,"gdp-per-capita",0.562635,2024-02-05 14:02:39
"7","million 1990$","Reference","Africa_Eastern",2025,"gdp-per-capita",0.632703,2024-02-05 14:02:39
"8","million 1990$","Reference","Africa_Eastern",2030,"gdp-per-capita",0.716285,2024-02-05 14:02:39
"9","million 1990$","Reference","Africa_Eastern",2035,"gdp-per-capita",0.795668,2024-02-05 14:02:39
"10","million 1990$","Reference","Africa_Eastern",2040,"gdp-per-capita",0.887151,2024-02-05 14:02:39
"11","million 1990$","Reference","Africa_Eastern",2045,"gdp-per-capita",0.991644,2024-02-05 14:02:39
"12","million 1990$","Reference","Africa_Eastern",2050,"gdp-per-capita",1.10827,2024-02-05 14:02:39
"13","million 1990$","Reference","Africa_Eastern",2055,"gdp-per-capita",1.24116,2024-02-05 14:02:39
"14","million 1990$","Reference","Africa_Eastern",2060,"gdp-per-capita",1.3935,2024-02-05 14:02:39
"15","million 1990$","Reference","Africa_Eastern",2065,"gdp-per-capita",1.56852,2024-02-05 14:02:39
"16","million 1990$","Reference","Africa_Eastern",2070,"gdp-per-capita",1.76648,2024-02-05 14:02:39
"17","million 1990$","Reference","Africa_Eastern",2075,"gdp-per-capita",1.98589,2024-02-05 14:02:39
"18","million 1990$","Reference","Africa_Eastern",2080,"gdp-per-capita",2.22349,2024-02-05 14:02:39
"19","million 1990$","Reference","Africa_Eastern",2085,"gdp-per-capita",2.47986,2024-02-05 14:02:39
"20","million 1990$","Reference","Africa_Eastern",2090,"gdp-per-capita",2.75628,2024-02-05 14:02:39
"21","million 1990$","Reference","Africa_Eastern",2095,"gdp-per-capita",3.05309,2024-02-05 14:02:39
"22","million 1990$","Reference","Africa_Eastern",2100,"gdp-per-capita",3.37064,2024-02-05 14:02:39
"23","million 1990$","Reference","Africa_Northern",1975,"gdp-per-capita",1.04436,2024-02-05 14:02:39
"24","million 1990$","Reference","Africa_Northern",1990,"gdp-per-capita",1.5918,2024-02-05 14:02:39
"25","million 1990$","Reference","Africa_Northern",2005,"gdp-per-capita",1.99972,2024-02-05 14:02:39
"26","million 1990$","Reference","Africa_Northern",2010,"gdp-per-capita",2.30295,2024-02-05 14:02:39
"27","million 1990$","Reference","Africa_Northern",2015,"gdp-per-capita",2.26218,2024-02-05 14:02:39
"28","million 1990$","Reference","Africa_Northern",2020,"gdp-per-capita",2.58943,2024-02-05 14:02:39
