"","Units","scenario","region","gcam-consumer","nodeinput","input","year","value","rundate"
"1","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.713716,2024-02-05 11:54:21
"2","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.358485,2024-02-05 11:54:21
"3","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.327379,2024-02-05 11:54:21
"4","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.274034,2024-02-05 11:54:21
"5","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.270179,2024-02-05 11:54:21
"6","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.277255,2024-02-05 11:54:21
"7","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.284957,2024-02-05 11:54:21
"8","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.294883,2024-02-05 11:54:21
"9","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.306697,2024-02-05 11:54:21
"10","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.31922,2024-02-05 11:54:21
"11","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.331667,2024-02-05 11:54:21
"12","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.342674,2024-02-05 11:54:21
"13","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.353708,2024-02-05 11:54:21
"14","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.362098,2024-02-05 11:54:21
"15","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.367996,2024-02-05 11:54:21
"16","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.371711,2024-02-05 11:54:21
"17","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.37366,2024-02-05 11:54:21
"18","2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.374302,2024-02-05 11:54:21
